DATE,MIN_TEMPR,ELECTRIC_PROD,BEER_PROD
1994-06-01,11.5,77.9831,89.4
1994-07-01,8.9,83.277,95.3
1994-08-01,7.4,81.8872,104.2
1994-09-01,9.9,75.6826,106.4
1994-10-01,9.3,71.2661,116.2
1994-11-01,9.9,75.2458,135.9
1994-12-01,7.4,84.8147,134.0
1995-01-01,8.6,92.4532,104.6
1995-02-01,11.9,87.4033,107.1
1995-03-01,14,81.2661,123.5
1995-04-01,8.6,73.8167,98.8
1995-05-01,10,73.2682,98.6
1995-06-01,13.5,78.3026,90.6
1995-07-01,12,85.9841,89.1
1995-08-01,10.5,89.5467,105.2
1995-09-01,10.7,78.5035,114.0
1995-10-01,8.1,73.7066,122.1
1995-11-01,10.1,79.6543,138.0
1995-12-01,10.6,90.8251,142.2
1996-01-01,5.3,98.9732,116.4
1996-02-01,6.6,92.8883,112.6
1996-03-01,8.5,86.9356,123.8
1996-04-01,11.2,77.2214,103.6
1996-05-01,9.8,76.6826,113.9
1996-06-01,5.9,81.9306,98.6
1996-07-01,3.2,85.9606,95.0
1996-08-01,2.1,86.5562,116.0
1996-09-01,3.4,79.1919,113.9
1996-10-01,5.4,74.6891,127.5
1996-11-01,9.6,81.074,131.4
1996-12-01,11.5,90.4855,145.9
1997-01-01,12.3,98.4613,131.5
1997-02-01,12.6,89.7795,131.0
1997-03-01,11,83.0125,130.5
1997-04-01,11.2,76.1476,118.9
1997-05-01,11.4,73.8471,114.3
1997-06-01,11.8,79.7645,85.7
1997-07-01,12.8,88.4519,104.6
1997-08-01,11.6,87.7828,105.1
1997-09-01,10.6,81.9386,117.3
1997-10-01,9.8,77.5027,142.5
1997-11-01,11.2,82.0448,140.0
1997-12-01,5.7,92.101,159.8
1998-01-01,7.1,94.792,131.2
1998-02-01,2.5,87.82,125.4
1998-03-01,3.5,86.5549,126.5
1998-04-01,4.6,76.7521,119.4
1998-05-01,11,78.0303,113.5
1998-06-01,5.7,86.4579,98.7
1998-07-01,7.7,93.8379,114.5
1998-08-01,10.4,93.531,113.8
1998-09-01,11.4,87.5414,133.1
1998-10-01,9.2,80.0924,143.4
1998-11-01,6.1,81.4349,137.3
1998-12-01,2.7,91.6841,165.2
1999-01-01,4.3,102.1348,126.9
1999-02-01,6.3,91.1829,124.0
1999-03-01,3.8,90.7381,135.7
1999-04-01,4.4,80.5176,130.0
1999-05-01,7.1,79.3887,109.4
1999-06-01,4.8,87.8431,117.8
1999-07-01,5.8,97.4903,120.3
1999-08-01,6.2,96.4157,121.0
1999-09-01,7.3,87.2248,132.3
1999-10-01,9.2,80.6409,142.9
1999-11-01,10.2,82.2025,147.4
1999-12-01,9.5,94.5113,175.9
2000-01-01,9.5,102.2301,132.6
2000-02-01,10.7,94.2989,123.7
2000-03-01,10,88.0927,153.3
2000-04-01,6.5,81.4425,134.0
2000-05-01,7,84.4552,119.6
2000-06-01,7.4,91.0406,116.2
2000-07-01,8.1,95.9957,118.6
2000-08-01,6.6,99.3704,130.7
2000-09-01,8.3,90.9178,129.3
2000-10-01,8.9,83.1408,144.4
2000-11-01,4.6,88.041,163.2
2000-12-01,6.8,102.4558,179.4
2001-01-01,5.7,109.1081,128.1
2001-02-01,6.1,97.1717,138.4
2001-03-01,7,92.8283,152.7
2001-04-01,7.2,82.915,120.0
2001-05-01,6.3,82.5465,140.5
2001-06-01,8.8,90.3955,116.2
2001-07-01,5,96.074,121.4
2001-08-01,7.4,99.5534,127.8
2001-09-01,10.1,88.281,143.6
2001-10-01,12,82.686,157.6
2001-11-01,9,82.9319,166.2
2001-12-01,8.9,93.0381,182.3
2002-01-01,9.8,102.9955,153.1
2002-02-01,9,95.2075,147.6
2002-03-01,9.2,93.2556,157.7
2002-04-01,7.7,85.795,137.2
2002-05-01,8,85.2351,151.5
2002-06-01,6.1,93.1896,98.7
2002-07-01,3.5,102.39299999999999,145.8
2002-08-01,3.2,101.6293,151.7
2002-09-01,5.7,93.3089,129.4
2002-10-01,7.7,86.9002,174.1
2002-11-01,9,88.5749,197.0
2002-12-01,10,100.8003,193.9
2003-01-01,6.2,110.1807,164.1
2003-02-01,6.9,103.8413,142.8
2003-03-01,6.5,94.5532,157.9
2003-04-01,6.8,85.06200000000001,159.2
2003-05-01,7,85.4653,162.2
2003-06-01,5.2,91.0761,123.1
2003-07-01,3,102.22,130.0
2003-08-01,5.6,104.4682,150.1
2003-09-01,7.9,92.9135,169.4
2003-10-01,9,86.5047,179.7
2003-11-01,8.6,88.5735,182.1
2003-12-01,10.3,103.5428,194.3
2004-01-01,10.5,113.7226,161.4
2004-02-01,7.6,106.15899999999999,169.4
2004-03-01,9.7,95.4029,168.8
2004-04-01,12.5,86.7233,158.1
2004-05-01,7.4,89.0302,158.5
2004-06-01,7.9,95.5045,135.3
2004-07-01,3.9,101.7948,149.3
2004-08-01,6.6,100.2025,143.4
2004-09-01,4.6,94.024,142.2
2004-10-01,7,87.5262,188.4
2004-11-01,6,89.6144,166.2
2004-12-01,5.5,105.7263,199.2
2005-01-01,8.1,111.1614,182.7
2005-02-01,5.5,101.7795,145.2
2005-03-01,6.2,98.9565,182.1
2005-04-01,8,86.4776,158.7
2005-05-01,10.3,87.2234,141.6
2005-06-01,9.8,99.5076,132.6
2005-07-01,9.6,108.3501,139.6
2005-08-01,8.5,109.4862,147.0
2005-09-01,7.5,99.1155,166.6
2005-10-01,11.2,89.7567,157.0
2005-11-01,14.6,90.4587,180.4
2005-12-01,11.7,108.2257,210.2
2006-01-01,7.8,104.4724,159.8
2006-02-01,12.3,101.5196,157.8
2006-03-01,10.1,98.4017,168.2
2006-04-01,11.5,87.5093,158.4
2006-05-01,7.3,90.0222,152.0
2006-06-01,10.9,100.5244,142.2
2006-07-01,14.1,110.9503,137.2
2006-08-01,10.7,111.5192,152.6
2006-09-01,16.9,95.7632,166.8
2006-10-01,10.5,90.3738,165.6
2006-11-01,6.5,92.3566,198.6
2006-12-01,11,103.066,201.5
2007-01-01,6.3,112.0576,170.7
2007-02-01,10.5,111.8399,164.4
2007-03-01,7.2,99.1925,179.7
2007-04-01,7.6,90.8177,157.0
2007-05-01,10.7,92.0587,168.0
2007-06-01,7.8,100.9676,139.3
2007-07-01,9.6,107.5686,138.6
2007-08-01,11.4,114.1036,153.4
2007-09-01,12.4,101.5316,138.9
2007-10-01,8.9,93.0068,172.1
2007-11-01,13.2,93.9126,198.4
2007-12-01,8.6,106.7528,217.8
2008-01-01,6.2,114.8331,173.7
2008-02-01,11.4,108.2353,153.8
2008-03-01,13.2,100.4386,175.6
2008-04-01,14.3,90.9944,147.1
2008-05-01,7.3,91.2348,160.3
2008-06-01,12.9,103.9581,135.2
2008-07-01,7.8,110.7631,148.8
2008-08-01,6.2,107.5665,151.0
2008-09-01,5.6,97.7183,148.2
2008-10-01,10,90.9979,182.2
2008-11-01,13.3,93.8057,189.2
2008-12-01,8.3,109.4221,183.1
2009-01-01,10.2,116.8316,170.0
2009-02-01,8.6,104.4202,158.4
2009-03-01,7.3,97.8529,176.1
2009-04-01,10.4,88.1973,156.2
2009-05-01,11.2,87.5366,153.2
2009-06-01,13.2,97.2387,117.9
2009-07-01,11.4,103.9086,149.8
2009-08-01,9.1,105.7486,156.6
2009-09-01,6.6,94.8823,166.7
2009-10-01,8.4,89.2977,156.8
2009-11-01,9.7,89.3585,158.6
2009-12-01,13.2,110.6844,210.8
2010-01-01,12.5,119.0166,203.6
2010-02-01,11,110.53299999999999,175.2
2010-03-01,11,98.2672,168.7
2010-04-01,11.7,86.3,155.9
2010-05-01,9.2,90.8364,147.3
2010-06-01,11.5,104.3538,137.0
2010-07-01,13.6,112.8066,141.1
2010-08-01,13.7,112.9014,167.4
2010-09-01,10.4,100.1209,160.2
2010-10-01,11.5,88.9251,191.9
2010-11-01,7.6,92.775,174.4
2010-12-01,9.6,114.3266,208.2
2011-01-01,14.2,119.488,159.4
2011-02-01,15.7,107.3753,161.1
2011-03-01,10.5,99.1028,172.1
2011-04-01,10.5,89.3583,158.4
2011-05-01,9.7,90.0698,114.6
2011-06-01,9.5,102.8204,159.6
2011-07-01,11.3,114.7068,159.7
2011-08-01,8.9,113.5958,159.4
2011-09-01,9.4,99.4712,160.7
2011-10-01,11.9,90.3566,165.5
2011-11-01,11.7,93.8095,205.0
2011-12-01,13.4,107.3312,205.2
2012-01-01,12.6,111.9646,141.6
2012-02-01,10.1,103.3679,148.1
2012-03-01,15.8,93.5772,184.9
2012-04-01,13.6,87.5566,132.5
2012-05-01,11.9,92.7603,137.3
2012-06-01,9.9,101.14,135.5
2012-07-01,12.6,113.0357,121.7
2012-08-01,17.8,109.8601,166.1
2012-09-01,15,96.7431,146.8
2012-10-01,13.6,90.3805,162.8
2012-11-01,13.4,94.3417,186.8
2012-12-01,10.5,105.2722,185.5
2013-01-01,14.2,115.501,151.5
2013-02-01,11.5,106.734,158.1
2013-03-01,13,102.9948,143.0
2013-04-01,15,91.0092,151.2
2013-05-01,14.7,90.9634,147.6
2013-06-01,12.6,100.6957,130.7
2013-07-01,12.5,110.148,137.5
2013-08-01,13.5,108.1756,146.1
2013-09-01,14.8,99.2809,133.6
2013-10-01,17.2,91.7871,167.9
2013-11-01,9.7,97.2853,181.9
2013-12-01,12.1,113.4732,202.0
2014-01-01,12.8,124.2549,166.5
2014-02-01,11.2,112.8811,151.3
2014-03-01,16.4,104.7631,146.2
2014-04-01,15.6,90.2867,148.3
2014-05-01,13.3,92.134,144.7
2014-06-01,11,101.87799999999999,123.6
2014-07-01,11.1,108.5497,151.6
2014-08-01,15,108.194,133.9
2014-09-01,12.8,100.4172,137.4
2014-10-01,15,92.3837,181.6
2014-11-01,14.2,99.7033,182.0
2014-12-01,14,109.3477,190.0
2015-01-01,15.5,120.2696,161.2
2015-02-01,13.3,116.3788,155.5
2015-03-01,15.6,104.4706,141.9
2015-04-01,15.2,89.7461,164.6
2015-05-01,17.4,91.09299999999999,136.2
2015-06-01,17,102.6495,126.8
2015-07-01,15,111.6354,152.5
2015-08-01,13.5,110.5925,126.6
2015-09-01,15.2,101.9204,150.1
2015-10-01,13,91.5959,186.3
2015-11-01,12.5,93.0628,147.5
2015-12-01,14.1,103.2203,200.4
2016-01-01,14.8,117.0837,177.2
2016-02-01,16.2,106.6688,127.4
2016-03-01,15.8,95.3548,177.1
2016-04-01,19.1,89.3254,154.4
2016-05-01,22.2,90.7369,135.2
2016-06-01,15.9,104.0375,126.4
2016-07-01,13,114.5397,147.3
2016-08-01,14.1,115.5159,140.6
2016-09-01,15.8,102.7637,152.3
2016-10-01,24,91.4867,151.2
2016-11-01,18,92.89,172.2
2016-12-01,19.7,112.7694,215.3
2017-01-01,25.2,114.8505,154.1
2017-02-01,20.5,99.4901,159.3
2017-03-01,19.3,101.0396,160.4
2017-04-01,15.8,88.353,151.9
2017-05-01,17,92.0805,148.4
2017-06-01,18.4,102.1532,139.6
2017-07-01,13.3,112.1538,148.2
2017-08-01,14.6,108.9312,153.5
2017-09-01,12.5,98.6154,145.1
2017-10-01,17,93.6137,183.7
2017-11-01,17.1,97.3359,210.5
2017-12-01,14,114.7212,203.3
2018-01-01,14.6,129.4048,153.3
